"","Sp","Limb_width","Limb_length","limb_volume","Observer"
"1","""V. pacos""",5.82651295609496,37.5782864330577,1001.94593308199,"""Qiuhan Zhang"""
"2","""A. carolinensis""",2.81582991847144,35.7597013315405,222.68789104203,"""Qiuhan Zhang"""
"3","""D. novemcinctus""",4.45567190687203,45.4992044445262,709.447222252462,"""Qiuhan Zhang"""
"4","""O. garnettii""",1.84054173939303,31.3343366464963,83.3684501468458,"""Qiuhan Zhang"""
"5","""P. troglodytes""",3.61691322629194,22.0636447476033,226.695718009852,"""Qiuhan Zhang"""
"6","""V. pacos""",5.10342025055166,25.1836140914834,515.146320569699,"""Qiuhan Zhang"""
"7","""A. carolinensis""",4.41727075895142,38.4669907253466,589.503156527806,"""Qiuhan Zhang"""
"8","""D. novemcinctus""",4.38609375871404,44.8953336355138,678.339187439497,"""Qiuhan Zhang"""
"9","""O. garnettii""",4.05608384472999,13.4608316869768,173.93045097422,"""Qiuhan Zhang"""
"10","""P. troglodytes""",4.2122721831283,33.0643076180267,460.767847579689,"""Qiuhan Zhang"""
"11","""V. pacos""",5.08136425515273,31.0809502752568,630.296399597792,"""Qiuhan Zhang"""
"12","""A. carolinensis""",4.97822345076895,36.3135680275688,706.817961272514,"""Qiuhan Zhang"""
"13","""D. novemcinctus""",5.22390970090829,43.0252776241129,922.157037956878,"""Qiuhan Zhang"""
"14","""O. garnettii""",3.88703307102035,36.4422795110321,432.446003093234,"""Qiuhan Zhang"""
"15","""P. troglodytes""",5.36127903075825,39.2013416779583,884.968136968344,"""Qiuhan Zhang"""
"16","""V. pacos""",4.44446422773573,55.2206213166058,856.702432923376,"""Qiuhan Zhang"""
"17","""A. carolinensis""",4.19300428173983,37.6168555274018,519.425160061736,"""Qiuhan Zhang"""
"18","""D. novemcinctus""",6.54318958108477,30.2123215628003,1015.90474100561,"""Qiuhan Zhang"""
"19","""O. garnettii""",4.71791960790156,18.4145637462259,321.923283451017,"""Qiuhan Zhang"""
"20","""P. troglodytes""",6.37088324069198,35.6151071087161,1135.33343502391,"""Qiuhan Zhang"""
"21","""V. pacos""",5.35224114586248,40.3523492508985,907.883346656089,"""Qiuhan Zhang"""
"22","""A. carolinensis""",3.11828920535542,48.4515513255215,370.024389594164,"""Qiuhan Zhang"""
"23","""D. novemcinctus""",3.80810542120459,28.2190996308669,321.403764695248,"""Qiuhan Zhang"""
"24","""O. garnettii""",3.6020732121904,24.4624784984357,249.284576762596,"""Qiuhan Zhang"""
"25","""P. troglodytes""",5.74784066568469,65.95726019851,1711.44099195505,"""Qiuhan Zhang"""
"26","""V. pacos""",2.83979950376805,26.7429742913091,169.384999087034,"""Qiuhan Zhang"""
"27","""A. carolinensis""",3.84509267306875,47.3100810516865,549.360204941083,"""Qiuhan Zhang"""
"28","""D. novemcinctus""",5.13868431999016,24.7516338214913,513.331163719858,"""Qiuhan Zhang"""
"29","""O. garnettii""",5.25088273278583,39.9147045233314,864.34562629596,"""Qiuhan Zhang"""
"30","""P. troglodytes""",3.61479457683785,-1.20184113569572,-12.3340069866295,"""Qiuhan Zhang"""
"31","""V. pacos""",5.7117038084685,23.1405873738689,592.919339416057,"""Qiuhan Zhang"""
"32","""A. carolinensis""",3.92666611338311,41.6094763644855,503.883434506342,"""Qiuhan Zhang"""
"33","""D. novemcinctus""",2.57037801282149,34.2131678572218,177.532212148542,"""Qiuhan Zhang"""
"34","""O. garnettii""",3.94365641667527,38.5590077494005,470.992371030177,"""Qiuhan Zhang"""
"35","""P. troglodytes""",1.66880093151197,49.0546877305602,107.294994990335,"""Matthew Meow"""
"36","""V. pacos""",3.43166650872614,20.0962155293865,185.872146234938,"""Matthew Meow"""
